title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
Titanium (feat. Sia),David Guetta,2,26262033.5,85.5,12,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,0.49342,228.51918,4,False,84,big room,2012-12-07,Yes
"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap,2,5605129,73.5,10,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,187500,0.0,176.56454,4,True,79,argentine hip hop,2022-06-08,Yes
PRMVR,La Maravillosa Orquesta del Alcohol,1,209251,56,8,0.585,0.608,10,-5.511,1,0.0263,0.0249,2.88e-06,0.337,0.562,95.805,183013,0.3249,174.3238,4,False,58,spanish indie pop,2015-10-03,Yes
Por la boca vive el pez,Fito y Fitipaldis,1,1845329,65,12,0.641,0.892,0,-2.812,0,0.0303,0.255,1.01e-05,0.221,0.841,151.229,269373,0.3946,256.5805,4,False,69,cantautor,2006-09-11,Yes
Lady Madrid,Pereza,1,449596,56,9,0.598,0.655,0,-2.761,1,0.0256,0.359,0,0.0922,0.377,115.041,191587,0.3254,177.27855,4,False,63,spanish indie pop,2009-08-25,Yes
Volvera,El Canto Del Loco,1,958041,63,7,0.568,0.892,1,-3.091,1,0.0464,0.0111,0,0.379,0.783,126.02,229747,0.07832,221.25134,4,False,62,latin arena pop,2005,Yes
Rosas,La Oreja de Van Gogh,1,3371218,72,13,0.783,0.685,9,-5.008,1,0.0271,0.627,3.49e-06,0.108,0.54,107.01,236333,3.81388,226.94023,4,False,81,latin arena pop,2003,Yes
Puedes Contar Conmigo,La Oreja de Van Gogh,1,3371218,72,12,0.651,0.894,6,-4.843,1,0.0317,0.0706,0,0.13,0.561,144.95,236565,0.23261,229.30286,4,False,69,latin arena pop,2003,Yes
Viva La Vida,Coldplay,1,44924323,88,11,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,0.49946,231.05016,4,False,90,permanent wave,2008-05-26,Yes
Soldadito marinero,Fito y Fitipaldis,1,1845329,65,12,0.718,0.431,2,-8.736,1,0.0314,0.132,0.000165,0.0686,0.324,139.618,254373,0.50444,235.68834,4,False,71,cantautor,2003-09-01,Yes
Tu jardín con enanitos,Melendi,1,3494549,72,9,0.721,0.834,7,-4.457,1,0.0345,0.337,0,0.104,0.53,127.92,236976,0.12431,228.26958,4,False,74,spanish pop,2012-11-13,Yes
Nada Fue Un Error,Coti,2,1273770,65,8,0.622,0.818,9,-6.784,1,0.0327,0.0831,0,0.31,0.849,138.495,208200,0.25546,198.7454,4,False,66,spanish pop,2003-01-01,Yes
